batter,batsman_total_runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,kmeans_cluster,hierarchical_cluster,player_type
A Badoni,963,740,130.13513513513513,73.0,38.0,53.99792315680166,0,2,Anchor Batter
A Manohar,292,243,120.16460905349794,23.0,14.0,60.273972602739725,0,2,Anchor Batter
A Mishra,381,440,86.5909090909091,31.0,5.0,40.419947506561684,0,2,Anchor Batter
A Raghuvanshi,463,326,142.0245398773006,46.0,16.0,60.475161987041034,2,0,Power Hitter
A Symonds,974,781,124.71190781049935,74.0,41.0,55.64681724845995,0,2,Anchor Batter
AA Jhunjhunwala,217,218,99.54128440366972,19.0,5.0,48.8479262672811,0,2,Anchor Batter
AB de Villiers,5181,3487,148.58044164037855,414.0,253.0,61.26230457440649,3,1,Balanced Batter
AC Gilchrist,2069,1555,133.05466237942122,239.0,92.0,72.88545190913484,1,0,Aggressive Finisher
AD Mathews,724,599,120.86811352253756,44.0,29.0,48.34254143646409,0,2,Anchor Batter
AD Russell,2655,1626,163.28413284132841,187.0,223.0,78.56873822975517,1,0,Aggressive Finisher
AJ Finch,2092,1696,123.34905660377359,214.0,78.0,63.28871892925431,1,0,Aggressive Finisher
AK Markram,1440,1093,131.74748398902105,111.0,57.0,54.58333333333333,0,0,Anchor Batter
AL Menaria,401,367,109.26430517711172,24.0,18.0,50.87281795511222,0,2,Anchor Batter
AM Nayar,672,588,114.28571428571429,55.0,20.0,50.595238095238095,0,2,Anchor Batter
AM Rahane,5032,4133,121.75175417372368,515.0,123.0,55.60413354531002,3,3,Balanced Batter
AP Tare,339,285,118.94736842105263,40.0,11.0,66.66666666666666,2,0,Power Hitter
AR Patel,1916,1489,128.67696440564137,130.0,94.0,56.57620041753654,1,0,Aggressive Finisher
AT Rayudu,4348,3490,124.58452722063038,359.0,173.0,56.89972401103955,3,3,Balanced Batter
Abdul Samad,743,506,146.83794466403162,45.0,50.0,64.6029609690444,2,0,Power Hitter
Abhishek Sharma,1816,1167,155.61268209083119,174.0,101.0,71.69603524229075,2,0,Power Hitter
Abishek Porel,661,454,145.59471365638765,65.0,27.0,63.842662632375195,2,0,Power Hitter
Anuj Rawat,318,276,115.21739130434783,26.0,14.0,59.11949685534591,0,2,Anchor Batter
Ashutosh Sharma,393,256,153.515625,24.0,28.0,67.17557251908397,2,0,Power Hitter
Azhar Mahmood,388,311,124.7588424437299,39.0,13.0,60.30927835051546,0,2,Anchor Batter
B Chipli,280,256,109.375,28.0,7.0,55.00000000000001,0,2,Anchor Batter
B Kumar,320,364,87.91208791208791,31.0,3.0,44.375,0,2,Anchor Batter
B Sai Sudharsan,1793,1279,140.1876465989054,183.0,53.0,58.561070831009474,1,0,Aggressive Finisher
BA Stokes,935,718,130.22284122562675,81.0,32.0,55.18716577540107,0,2,Anchor Batter
BB McCullum,2882,2272,126.84859154929578,293.0,130.0,67.73074253990285,1,3,Aggressive Finisher
BJ Hodge,1400,1153,121.42237640936686,122.0,43.0,53.28571428571428,0,0,Anchor Batter
C Green,707,472,149.78813559322035,62.0,32.0,62.23479490806223,2,0,Power Hitter
C de Grandhomme,303,229,132.31441048034935,18.0,18.0,59.4059405940594,2,0,Power Hitter
CA Lynn,1329,974,136.4476386036961,132.0,66.0,69.52595936794582,2,0,Power Hitter
CA Pujara,390,403,96.7741935483871,50.0,4.0,57.43589743589743,0,2,Anchor Batter
CH Gayle,4997,3516,142.12172923777018,408.0,359.0,75.76545927556533,3,1,Balanced Batter
CH Morris,618,413,149.636803874092,41.0,35.0,60.517799352750814,2,0,Power Hitter
CJ Anderson,538,436,123.39449541284404,40.0,31.0,64.31226765799256,2,0,Power Hitter
CL White,971,774,125.45219638242894,76.0,38.0,54.78887744593203,0,2,Anchor Batter
D Brevis,455,305,149.18032786885246,30.0,33.0,69.89010989010988,2,0,Power Hitter
D Padikkal,1806,1496,120.72192513368984,192.0,56.0,61.12956810631229,1,0,Aggressive Finisher
DA Miller,3077,2295,134.07407407407408,220.0,138.0,55.50861228469288,1,3,Aggressive Finisher
DA Warner,6567,4849,135.4299855640338,663.0,236.0,61.94609410689813,3,1,Balanced Batter
DB Das,304,267,113.85767790262172,23.0,16.0,61.8421052631579,0,2,Anchor Batter
DB Ravi Teja,375,325,115.38461538461539,35.0,9.0,51.733333333333334,0,2,Anchor Batter
DJ Bravo,1560,1247,125.10024057738572,120.0,66.0,56.15384615384615,0,0,Anchor Batter
DJ Hooda,1497,1213,123.41302555647155,98.0,62.0,51.03540414161657,0,0,Anchor Batter
DJ Hussey,1322,1101,120.07266121707539,90.0,60.0,54.46293494704992,0,0,Anchor Batter
DJ Mitchell,351,274,128.1021897810219,28.0,10.0,49.002849002849004,0,2,Anchor Batter
DJG Sammy,295,251,117.52988047808765,15.0,18.0,56.949152542372886,0,2,Anchor Batter
DP Conway,1080,794,136.02015113350126,117.0,34.0,62.22222222222222,2,0,Power Hitter
DPMD Jayawardene,1808,1522,118.79106438896189,200.0,40.0,57.52212389380531,1,0,Aggressive Finisher
DR Smith,2385,1803,132.27953410981698,245.0,117.0,70.52410901467505,1,0,Aggressive Finisher
DT Christian,460,408,112.74509803921569,23.0,19.0,44.78260869565218,0,2,Anchor Batter
Dhruv Jurel,680,456,149.12280701754386,51.0,38.0,63.52941176470588,2,0,Power Hitter
E Lewis,654,499,131.06212424849699,62.0,36.0,70.9480122324159,2,0,Power Hitter
EJG Morgan,1406,1181,119.05165114309906,112.0,64.0,59.17496443812234,0,0,Anchor Batter
F du Plessis,4773,3605,132.3994452149792,440.0,174.0,58.74711921223549,3,1,Balanced Batter
G Gambhir,4217,3524,119.66515323496027,492.0,59.0,55.0628408821437,1,3,Aggressive Finisher
GC Smith,739,691,106.94645441389291,94.0,9.0,58.18673883626523,0,2,Anchor Batter
GH Vihari,284,331,85.80060422960725,23.0,1.0,34.50704225352113,0,2,Anchor Batter
GJ Bailey,663,552,120.1086956521739,59.0,19.0,52.79034690799397,0,2,Anchor Batter
GJ Maxwell,2820,1896,148.73417721518987,238.0,161.0,68.01418439716312,1,3,Aggressive Finisher
Gurkeerat Singh,511,436,117.20183486238533,55.0,11.0,55.96868884540117,0,2,Anchor Batter
H Klaasen,1480,907,163.1753031973539,98.0,89.0,62.56756756756757,2,0,Power Hitter
HH Gibbs,886,837,105.8542413381123,83.0,31.0,58.465011286681715,0,2,Anchor Batter
HH Pandya,2758,1962,140.57084607543322,207.0,150.0,62.65409717186367,1,3,Aggressive Finisher
HM Amla,577,418,138.03827751196172,60.0,21.0,63.43154246100519,2,0,Power Hitter
HV Patel,270,241,112.03319502074689,16.0,15.0,57.03703703703704,0,2,Anchor Batter
Harbhajan Singh,833,636,130.9748427672956,79.0,42.0,68.18727490996399,2,0,Power Hitter
Harpreet Brar,244,214,114.01869158878505,19.0,10.0,55.73770491803278,0,2,Anchor Batter
IK Pathan,1150,985,116.751269035533,88.0,38.0,50.43478260869565,0,0,Anchor Batter
Ishan Kishan,2998,2237,134.01877514528385,288.0,134.0,65.24349566377585,1,3,Aggressive Finisher
J Botha,409,364,112.36263736263736,39.0,5.0,45.47677261613692,0,2,Anchor Batter
J Fraser-McGurk,385,203,189.6551724137931,39.0,30.0,87.27272727272727,2,0,Power Hitter
JA Morkel,975,712,136.93820224719101,61.0,55.0,58.87179487179487,2,0,Power Hitter
JC Buttler,4121,2856,144.29271708683473,408.0,185.0,66.53724824071827,3,1,Balanced Batter
JD Ryder,604,466,129.6137339055794,69.0,19.0,64.56953642384106,2,0,Power Hitter
JEC Franklin,327,309,105.8252427184466,25.0,9.0,47.09480122324159,0,2,Anchor Batter
JH Kallis,2427,2291,105.93627237014404,255.0,44.0,52.90482076637824,1,3,Aggressive Finisher
JJ Roy,614,460,133.47826086956522,75.0,21.0,69.38110749185668,2,0,Power Hitter
JM Bairstow,1674,1181,141.74428450465706,173.0,74.0,67.86140979689367,2,0,Power Hitter
JM Sharma,991,656,151.0670731707317,77.0,62.0,68.6175580221998,2,0,Power Hitter
JO Holder,259,217,119.35483870967742,13.0,18.0,61.77606177606177,0,2,Anchor Batter
JP Duminy,2029,1680,120.77380952380952,126.0,79.0,48.20108427796944,0,0,Anchor Batter
JP Faulkner,527,406,129.80295566502463,36.0,23.0,53.510436432637576,0,2,Anchor Batter
JR Hopes,417,314,132.80254777070064,49.0,11.0,62.829736211031175,2,0,Power Hitter
K Goel,218,239,91.2133891213389,17.0,9.0,55.96330275229357,0,2,Anchor Batter
K Rabada,215,216,99.53703703703704,16.0,9.0,54.88372093023256,0,2,Anchor Batter
KA Pollard,3437,2447,140.45770331017573,221.0,224.0,64.82397439627582,1,3,Aggressive Finisher
KC Sangakkara,1687,1424,118.46910112359551,195.0,27.0,55.838767042086545,0,0,Anchor Batter
KD Karthik,4843,3687,131.35340385136968,466.0,161.0,58.43485442907289,3,1,Balanced Batter
KH Pandya,1756,1376,127.61627906976744,153.0,65.0,57.061503416856496,1,0,Aggressive Finisher
KK Nair,1694,1314,128.9193302891933,185.0,49.0,61.038961038961034,1,0,Aggressive Finisher
KL Rahul,5235,3947,132.63237902204204,453.0,208.0,58.45272206303726,3,1,Balanced Batter
KM Jadhav,1208,1012,119.36758893280633,102.0,40.0,53.64238410596026,0,0,Anchor Batter
KP Pietersen,1001,758,132.0580474934037,91.0,40.0,60.33966033966034,2,0,Power Hitter
KR Mayers,379,276,137.31884057971016,38.0,22.0,74.93403693931398,2,0,Power Hitter
KS Williamson,2132,1734,122.95271049596309,187.0,64.0,53.09568480300187,1,0,Aggressive Finisher
KV Sharma,352,307,114.65798045602605,20.0,17.0,51.70454545454546,0,2,Anchor Batter
Kuldeep Yadav,201,240,83.75,18.0,3.0,44.776119402985074,0,2,Anchor Batter
LA Pomersbach,302,251,120.3187250996016,25.0,13.0,58.94039735099338,0,2,Anchor Batter
LMP Simmons,1079,878,122.89293849658314,109.0,44.0,64.87488415199259,2,0,Power Hitter
LR Shukla,405,358,113.12849162011173,33.0,16.0,56.2962962962963,0,2,Anchor Batter
LRPL Taylor,1017,847,120.07083825265643,66.0,46.0,53.09734513274337,0,2,Anchor Batter
LS Livingstone,1051,699,150.3576537911302,70.0,75.0,69.45765937202664,2,0,Power Hitter
Lalit Yadav,305,301,101.32890365448505,27.0,7.0,49.18032786885246,0,2,Anchor Batter
M Kaif,259,258,100.3875968992248,22.0,6.0,47.87644787644788,0,2,Anchor Batter
M Manhas,514,486,105.76131687242798,43.0,10.0,45.13618677042802,0,2,Anchor Batter
M Shahrukh Khan,732,517,141.58607350096713,46.0,50.0,66.12021857923497,2,0,Power Hitter
