match_id,team_batting,total_runs,match_date
335982,Kolkata Knight Riders,222,2008-04-18
335982,Royal Challengers Bangalore,82,2008-04-18
335983,Chennai Super Kings,240,2008-04-19
335983,Punjab Kings,207,2008-04-19
335984,Delhi Capitals,132,2008-04-19
335984,Rajasthan Royals,129,2008-04-19
335985,Mumbai Indians,165,2008-04-20
335985,Royal Challengers Bangalore,166,2008-04-20
335986,Kolkata Knight Riders,112,2008-04-20
335986,Sunrisers Hyderabad,110,2008-04-20
335987,Punjab Kings,166,2008-04-21
335987,Rajasthan Royals,168,2008-04-21
335988,Delhi Capitals,143,2008-04-22
335988,Sunrisers Hyderabad,142,2008-04-22
335989,Chennai Super Kings,208,2008-04-23
335989,Mumbai Indians,202,2008-04-23
335990,Rajasthan Royals,217,2008-04-24
335990,Sunrisers Hyderabad,214,2008-04-24
335991,Mumbai Indians,116,2008-04-25
335991,Punjab Kings,182,2008-04-25
335992,Rajasthan Royals,138,2008-04-26
335992,Royal Challengers Bangalore,135,2008-04-26
335993,Chennai Super Kings,152,2008-04-26
335993,Kolkata Knight Riders,147,2008-04-26
335994,Mumbai Indians,154,2008-04-27
335994,Sunrisers Hyderabad,155,2008-04-27
335995,Delhi Capitals,158,2008-04-27
335995,Punjab Kings,162,2008-04-27
335996,Chennai Super Kings,178,2008-04-28
335996,Royal Challengers Bangalore,165,2008-04-28
335997,Kolkata Knight Riders,137,2008-04-29
335997,Mumbai Indians,138,2008-04-29
335998,Delhi Capitals,191,2008-04-30
335998,Royal Challengers Bangalore,181,2008-04-30
335999,Punjab Kings,167,2008-05-01
335999,Sunrisers Hyderabad,164,2008-05-01
336000,Kolkata Knight Riders,151,2008-05-01
336000,Rajasthan Royals,196,2008-05-01
336001,Chennai Super Kings,169,2008-05-02
336001,Delhi Capitals,172,2008-05-02
336002,Royal Challengers Bangalore,171,2008-05-25
336002,Sunrisers Hyderabad,165,2008-05-25
336003,Kolkata Knight Riders,169,2008-05-03
336003,Punjab Kings,178,2008-05-03
336004,Delhi Capitals,133,2008-05-04
336004,Mumbai Indians,162,2008-05-04
336005,Chennai Super Kings,109,2008-05-04
336005,Rajasthan Royals,110,2008-05-04
336006,Punjab Kings,127,2008-05-05
336006,Royal Challengers Bangalore,126,2008-05-05
336007,Chennai Super Kings,144,2008-05-06
336007,Sunrisers Hyderabad,148,2008-05-06
336008,Mumbai Indians,104,2008-05-07
336008,Rajasthan Royals,103,2008-05-07
336009,Chennai Super Kings,188,2008-05-08
336009,Delhi Capitals,187,2008-05-08
336010,Kolkata Knight Riders,129,2008-05-08
336010,Royal Challengers Bangalore,124,2008-05-08
336011,Rajasthan Royals,141,2008-05-09
336011,Sunrisers Hyderabad,140,2008-05-09
336012,Mumbai Indians,126,2008-05-28
336012,Royal Challengers Bangalore,122,2008-05-28
336013,Chennai Super Kings,181,2008-05-10
336013,Punjab Kings,163,2008-05-10
336014,Kolkata Knight Riders,204,2008-05-11
336014,Sunrisers Hyderabad,181,2008-05-11
336015,Delhi Capitals,156,2008-05-11
336015,Rajasthan Royals,159,2008-05-11
336016,Punjab Kings,144,2008-05-12
336016,Royal Challengers Bangalore,143,2008-05-12
336017,Delhi Capitals,110,2008-05-13
336017,Kolkata Knight Riders,133,2008-05-13
336018,Chennai Super Kings,156,2008-05-14
336018,Mumbai Indians,158,2008-05-14
336019,Punjab Kings,221,2008-05-28
336019,Rajasthan Royals,180,2008-05-28
336020,Delhi Capitals,194,2008-05-15
336020,Sunrisers Hyderabad,182,2008-05-15
336021,Kolkata Knight Riders,67,2008-05-16
336021,Mumbai Indians,68,2008-05-16
336022,Delhi Capitals,118,2008-05-17
336022,Punjab Kings,94,2008-05-17
336023,Rajasthan Royals,197,2008-05-17
336023,Royal Challengers Bangalore,132,2008-05-17
336024,Mumbai Indians,178,2008-05-18
336024,Sunrisers Hyderabad,153,2008-05-18
336025,Chennai Super Kings,55,2008-05-18
336025,Kolkata Knight Riders,149,2008-05-18
336026,Delhi Capitals,158,2008-05-19
336026,Royal Challengers Bangalore,154,2008-05-19
336027,Kolkata Knight Riders,147,2008-05-20
336027,Rajasthan Royals,150,2008-05-20
336028,Mumbai Indians,188,2008-05-21
336028,Punjab Kings,189,2008-05-21
336029,Chennai Super Kings,112,2008-05-21
336029,Royal Challengers Bangalore,126,2008-05-21
336031,Punjab Kings,178,2008-05-23
336031,Sunrisers Hyderabad,175,2008-05-23
336032,Delhi Capitals,179,2008-05-24
336032,Mumbai Indians,176,2008-05-24
336033,Chennai Super Kings,201,2008-05-24
336033,Rajasthan Royals,211,2008-05-24
336034,Royal Challengers Bangalore,156,2008-05-03
336034,Sunrisers Hyderabad,153,2008-05-03
336035,Kolkata Knight Riders,175,2008-05-25
336035,Punjab Kings,174,2008-05-25
336036,Mumbai Indians,145,2008-05-26
336036,Rajasthan Royals,146,2008-05-26
336037,Chennai Super Kings,148,2008-05-27
336037,Sunrisers Hyderabad,147,2008-05-27
336038,Delhi Capitals,87,2008-05-30
336038,Rajasthan Royals,192,2008-05-30
336039,Chennai Super Kings,116,2008-05-31
336039,Punjab Kings,112,2008-05-31
336040,Chennai Super Kings,163,2008-06-01
336040,Rajasthan Royals,164,2008-06-01
392181,Chennai Super Kings,146,2009-04-18
392181,Mumbai Indians,165,2009-04-18
392182,Rajasthan Royals,58,2009-04-18
392182,Royal Challengers Bangalore,133,2009-04-18
392183,Delhi Capitals,58,2009-04-19
392183,Punjab Kings,104,2009-04-19
392184,Kolkata Knight Riders,101,2009-04-19
392184,Sunrisers Hyderabad,104,2009-04-19
392185,Chennai Super Kings,179,2009-04-20
392185,Royal Challengers Bangalore,87,2009-04-20
392186,Kolkata Knight Riders,79,2009-04-21
392186,Punjab Kings,158,2009-04-21
392188,Royal Challengers Bangalore,160,2009-04-22
392188,Sunrisers Hyderabad,184,2009-04-22
392189,Chennai Super Kings,180,2009-04-23
392189,Delhi Capitals,189,2009-04-23
392190,Kolkata Knight Riders,165,2009-04-23
392190,Rajasthan Royals,168,2009-04-23
392191,Punjab Kings,173,2009-04-24
392191,Royal Challengers Bangalore,168,2009-04-24
392192,Mumbai Indians,156,2009-04-25
392192,Sunrisers Hyderabad,168,2009-04-25
392194,Delhi Capitals,150,2009-04-26
392194,Royal Challengers Bangalore,149,2009-04-26
392195,Punjab Kings,139,2009-04-26
392195,Rajasthan Royals,112,2009-04-26
392196,Chennai Super Kings,165,2009-04-27
392196,Sunrisers Hyderabad,169,2009-04-27
392197,Kolkata Knight Riders,95,2009-04-27
392197,Mumbai Indians,187,2009-04-27
392198,Delhi Capitals,143,2009-04-28
392198,Rajasthan Royals,147,2009-04-28
392199,Kolkata Knight Riders,139,2009-04-29
392199,Royal Challengers Bangalore,143,2009-04-29
392200,Mumbai Indians,116,2009-04-29
392200,Punjab Kings,119,2009-04-29
392201,Delhi Capitals,150,2009-04-30
392201,Sunrisers Hyderabad,148,2009-04-30
392202,Chennai Super Kings,164,2009-04-30
392202,Rajasthan Royals,126,2009-04-30
392203,Kolkata Knight Riders,139,2009-05-01
392203,Mumbai Indians,148,2009-05-01
392204,Punjab Kings,137,2009-05-01
392204,Royal Challengers Bangalore,145,2009-05-01
392205,Rajasthan Royals,142,2009-05-02
392205,Sunrisers Hyderabad,141,2009-05-02
392206,Chennai Super Kings,163,2009-05-02
392206,Delhi Capitals,145,2009-05-02
392207,Kolkata Knight Riders,153,2009-05-03
392207,Punjab Kings,154,2009-05-03
392208,Mumbai Indians,149,2009-05-03
392208,Royal Challengers Bangalore,150,2009-05-03
392209,Chennai Super Kings,178,2009-05-04
392209,Sunrisers Hyderabad,100,2009-05-04
392210,Punjab Kings,133,2009-05-05
392210,Rajasthan Royals,211,2009-05-05
392211,Delhi Capitals,157,2009-05-05
392211,Kolkata Knight Riders,154,2009-05-05
392212,Mumbai Indians,126,2009-05-06
392212,Sunrisers Hyderabad,145,2009-05-06
392213,Rajasthan Royals,107,2009-05-07
392213,Royal Challengers Bangalore,105,2009-05-07
392214,Chennai Super Kings,185,2009-05-07
392214,Punjab Kings,174,2009-05-07
392215,Delhi Capitals,118,2009-05-08
392215,Mumbai Indians,116,2009-05-08
392216,Punjab Kings,169,2009-05-09
392216,Sunrisers Hyderabad,168,2009-05-09
392217,Chennai Super Kings,141,2009-05-09
392217,Rajasthan Royals,140,2009-05-09
392218,Mumbai Indians,157,2009-05-10
392218,Royal Challengers Bangalore,141,2009-05-10
392219,Delhi Capitals,125,2009-05-10
392219,Kolkata Knight Riders,123,2009-05-10
392220,Rajasthan Royals,113,2009-05-11
392220,Sunrisers Hyderabad,166,2009-05-11
392221,Kolkata Knight Riders,173,2009-05-12
392221,Royal Challengers Bangalore,176,2009-05-12
392222,Mumbai Indians,122,2009-05-12
392222,Punjab Kings,119,2009-05-12
392223,Delhi Capitals,173,2009-05-13
392223,Sunrisers Hyderabad,161,2009-05-13
392224,Chennai Super Kings,129,2009-05-14
392224,Royal Challengers Bangalore,132,2009-05-14
392225,Mumbai Indians,143,2009-05-14
392225,Rajasthan Royals,145,2009-05-14
392226,Delhi Capitals,120,2009-05-15
392226,Punjab Kings,123,2009-05-15
392227,Chennai Super Kings,151,2009-05-16
392227,Mumbai Indians,147,2009-05-16
392228,Kolkata Knight Riders,160,2009-05-16
392228,Sunrisers Hyderabad,166,2009-05-16
392229,Punjab Kings,134,2009-05-17
392229,Sunrisers Hyderabad,133,2009-05-17
392230,Delhi Capitals,150,2009-05-17
392230,Rajasthan Royals,136,2009-05-17
392231,Chennai Super Kings,188,2009-05-18
392231,Kolkata Knight Riders,189,2009-05-18
392232,Delhi Capitals,134,2009-05-19
392232,Royal Challengers Bangalore,135,2009-05-19
392233,Kolkata Knight Riders,102,2009-05-20
392233,Rajasthan Royals,101,2009-05-20
392234,Chennai Super Kings,116,2009-05-20
392234,Punjab Kings,92,2009-05-20
392235,Delhi Capitals,166,2009-05-21
392235,Mumbai Indians,165,2009-05-21
392236,Royal Challengers Bangalore,170,2009-05-21
392236,Sunrisers Hyderabad,158,2009-05-21
392237,Delhi Capitals,153,2009-05-22
392237,Sunrisers Hyderabad,154,2009-05-22
392238,Chennai Super Kings,146,2009-05-23
392238,Royal Challengers Bangalore,149,2009-05-23
392239,Royal Challengers Bangalore,137,2009-05-24
392239,Sunrisers Hyderabad,143,2009-05-24
419106,Kolkata Knight Riders,161,2010-03-12
419106,Sunrisers Hyderabad,150,2010-03-12
419107,Mumbai Indians,212,2010-03-13
419107,Rajasthan Royals,208,2010-03-13
419108,Delhi Capitals,146,2010-03-13
419108,Punjab Kings,142,2010-03-13
419109,Kolkata Knight Riders,136,2010-03-14
419109,Royal Challengers Bangalore,135,2010-03-14
419110,Chennai Super Kings,159,2010-03-14
419110,Sunrisers Hyderabad,190,2010-03-14
419111,Delhi Capitals,142,2010-03-15
419111,Rajasthan Royals,141,2010-03-15
419112,Punjab Kings,203,2010-03-16
419112,Royal Challengers Bangalore,204,2010-03-16
419113,Chennai Super Kings,164,2010-03-16
419113,Kolkata Knight Riders,109,2010-03-16
