Team,Target,Granularity,Model,Step,Forecast,Lower_CI,Upper_CI
CSK,runs,match,ARIMA,1,159.78778605671116,100.16784197328732,219.407730140135
CSK,runs,match,ARIMA,2,161.1281628321368,101.44407912104572,220.8122465432279
CSK,runs,match,ARIMA,3,160.05064507038887,100.31644429930273,219.784845841475
CSK,runs,match,ARIMA,4,160.96320340730452,101.20955405776459,220.71685275684445
CSK,runs,match,ARIMA,5,160.18990989185292,100.40842272279193,219.97139706091392
CSK,runs,match,SARIMAX,1,176.39815769796417,153.4312205227937,199.36509487313464
CSK,runs,match,SARIMAX,2,176.39603042342756,152.80572813439645,199.98633271245868
CSK,runs,match,SARIMAX,3,177.41828787489948,153.73766296088473,201.09891278891422
CSK,runs,match,SARIMAX,4,176.82103589875572,153.09673129792796,200.5453404995835
CSK,runs,match,SARIMAX,5,174.45355937698278,150.69253570418277,198.2145830497828
CSK,runs,match,Prophet,1,170.4964350068281,133.34969467514577,208.18193172818772
CSK,runs,match,Prophet,2,171.12381725339023,131.03004512953592,206.88603346373472
CSK,runs,match,Prophet,3,171.7010087384855,135.1740404928757,209.11962700244305
CSK,runs,match,Prophet,4,172.20658626936654,135.62817892875418,210.33057548828816
CSK,runs,match,Prophet,5,172.61832387703618,135.27033181254828,212.20118901861355
CSK,wickets,match,ARIMA,1,4.902644055604277,0.5716379567723306,9.233650154436223
CSK,wickets,match,ARIMA,2,5.54115963011867,1.1889056873855948,9.893413572851745
CSK,wickets,match,ARIMA,3,4.851526345366218,0.4987952000850564,9.204257490647379
CSK,wickets,match,ARIMA,4,5.524665946005696,1.1686961753071499,9.88063571670424
CSK,wickets,match,ARIMA,5,4.876550629758959,0.5184100568406178,9.2346912026773
CSK,wickets,match,SARIMAX,1,4.636825860250194,1.4689121760107797,7.804739544489608
CSK,wickets,match,SARIMAX,2,6.401260529736624,3.174144779961644,9.628376279511604
CSK,wickets,match,SARIMAX,3,4.794325223409902,1.5601877490762162,8.028462697743588
CSK,wickets,match,SARIMAX,4,4.190403423757956,0.9528419786247486,7.427964868891163
CSK,wickets,match,SARIMAX,5,3.444277175797038,0.20374851734123967,6.6848058342528365
CSK,wickets,match,Prophet,1,5.238396038519939,2.3164600638546666,7.807161607840958
CSK,wickets,match,Prophet,2,5.205815448467557,2.2784288444967165,7.978552807155347
CSK,wickets,match,Prophet,3,5.173509618274116,2.4496888586652457,7.973139344950225
CSK,wickets,match,Prophet,4,5.141509991689353,2.214728904351351,7.872734650020241
CSK,wickets,match,Prophet,5,5.109896334717134,2.4055901185857524,8.004252852998064
CSK,win_probability_proxy,match,ARIMA,1,0.6338220053297118,-0.3222514302203393,1.5898954408797628
CSK,win_probability_proxy,match,ARIMA,2,0.6189983746866722,-0.34103308317939773,1.579029832552742
CSK,win_probability_proxy,match,ARIMA,3,0.5533447370041433,-0.40688241414635373,1.5135718881546403
CSK,win_probability_proxy,match,ARIMA,4,0.6258945652443556,-0.33523858130241746,1.5870277117911287
CSK,win_probability_proxy,match,ARIMA,5,0.5562859457927497,-0.4054104743425655,1.517982365928065
CSK,win_probability_proxy,match,SARIMAX,1,-0.02753009745040612,-0.807182288082646,0.7521220931818338
CSK,win_probability_proxy,match,SARIMAX,2,-0.0744044815472711,-0.8541656405585296,0.7053566774639874
CSK,win_probability_proxy,match,SARIMAX,3,-0.11003396219679029,-0.8898018506961028,0.6697339263025223
CSK,win_probability_proxy,match,SARIMAX,4,-0.019767501103336596,-0.7995396005196733,0.7600045983130002
CSK,win_probability_proxy,match,SARIMAX,5,-0.03991074496909222,-0.8196871109482115,0.7398656210100271
CSK,win_probability_proxy,match,Prophet,1,0.5701970608179309,-0.03701410092149993,1.1955243857401918
CSK,win_probability_proxy,match,Prophet,2,0.5766418719419212,-0.03259250936088772,1.2314009766487237
CSK,win_probability_proxy,match,Prophet,3,0.5816323955112318,-0.05789547030438948,1.2185741675289645
CSK,win_probability_proxy,match,Prophet,4,0.585079894038962,-0.03954410630848121,1.2198092051794034
CSK,win_probability_proxy,match,Prophet,5,0.5869214518363731,0.012253621089424037,1.2246675858845104
DC,runs,match,ARIMA,1,156.42256071605814,94.93320178784242,217.91191964427387
DC,runs,match,ARIMA,2,159.40580806346642,97.91643356590811,220.89518256102474
DC,runs,match,ARIMA,3,157.15624217368094,95.6572279793183,218.65525636804358
DC,runs,match,ARIMA,4,158.68727344809747,97.07684959426336,220.29769730193158
DC,runs,match,ARIMA,5,157.6594899470004,96.04899011904891,219.26998977495188
DC,runs,match,SARIMAX,1,157.45305310894554,134.36590738539573,180.54019883249535
DC,runs,match,SARIMAX,2,154.70387420543236,131.58031437797,177.8274340328947
DC,runs,match,SARIMAX,3,153.6358389891684,130.50901906356043,176.76265891477638
DC,runs,match,SARIMAX,4,155.57309020967102,132.4436170940873,178.70256332525474
DC,runs,match,SARIMAX,5,155.36170145865432,132.22959938019295,178.4938035371157
DC,runs,match,Prophet,1,162.19493274260742,127.0070233878432,202.2268908246703
DC,runs,match,Prophet,2,159.46325147432233,122.59725498508975,196.25281920153623
DC,runs,match,Prophet,3,157.04926894105304,116.16668525638092,194.54569855957791
DC,runs,match,Prophet,4,155.00291177463907,116.53079064688822,192.6150020309294
